"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"하키장","은평구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","서대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","서대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","마포구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","마포구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","양천구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","양천구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","강서구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","강서구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","구로구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","구로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","금천구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","금천구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","영등포구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","영등포구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","동작구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","동작구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","관악구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","관악구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","서초구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","서초구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","강남구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","강남구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","송파구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","송파구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","강동구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","강동구","면적","㎡","","","","","","","","","","","0","-","-","-",
